Primary site	Site subtype 1	Site subtype 2	Site subtype 3	CALOHA
soft_tissue	striated_muscle	lower_leg	ns	TS-2461
soft_tissue	striated_muscle	lung	ns	TS-0568
soft_tissue	striated_muscle	lymph_node	ns	TS-0579
soft_tissue	striated_muscle	maxillary	ns	TS-2217
soft_tissue	striated_muscle	mediastinum	ns	TS-2338
soft_tissue	striated_muscle	middle_ear	ns	TS-2233
soft_tissue	striated_muscle	mouth	ns	TS-1315
soft_tissue	striated_muscle	neck	ns	TS-2045
soft_tissue	striated_muscle	ns	ns	TS-2047
soft_tissue	striated_muscle	orbit	ns	TS-2497
soft_tissue	striated_muscle	ovary	ns	TS-0730
soft_tissue	striated_muscle	paraspinal	ns	TS-2047
soft_tissue	striated_muscle	paratestis	ns	TS-2047
soft_tissue	striated_muscle	pelvic_cavity	ns	TS-2487
soft_tissue	striated_muscle	pelvis	ns	TS-2227
soft_tissue	striated_muscle	perineum	ns	TS-2488
soft_tissue	striated_muscle	pharynx	ns	TS-0785
soft_tissue	striated_muscle	pleura	ns	TS-2081
soft_tissue	striated_muscle	prostate	ns	TS-0828
soft_tissue	striated_muscle	retroperitoneum	ns	TS-2337
soft_tissue	striated_muscle	scalp	ns	TS-0896
soft_tissue	striated_muscle	shoulder	ns	TS-2229
soft_tissue	striated_muscle	sinonasal	ns	TS-2456
soft_tissue	striated_muscle	testis	ns	TS-1030
soft_tissue	striated_muscle	trunk	ns	TS-1071
soft_tissue	striated_muscle	upper_aerodigestive_tract	ns	TS-2047
soft_tissue	striated_muscle	upper_extremity	ns	TS-2214
soft_tissue	striated_muscle	upper_leg	ns	TS-2039
soft_tissue	striated_muscle	vagina	ns	TS-1103
soft_tissue	striated_muscle	vulva	ns	TS-1168
stomach	ns	ns	ns	TS-0980
testis	ns	ns	ns	TS-1030
thymus	ns	ns	ns	TS-1043
thymus	thyroid	ns	ns	TS-1047
thyroid	ns	ns	ns	TS-1047
upper_aerodigestive_tract	head_neck	ns	ns	TS-2356
upper_aerodigestive_tract	larynx	glottis	ns	TS-2474
upper_aerodigestive_tract	larynx	ns	ns	TS-0532
upper_aerodigestive_tract	larynx	subglottis	ns	TS-2475
upper_aerodigestive_tract	larynx	supraglottis	ns	TS-2476
upper_aerodigestive_tract	middle_ear	ns	ns	TS-2233
upper_aerodigestive_tract	mouth	alveolus	ns	TS-0031
upper_aerodigestive_tract	mouth	alveolus_ridge	ns	TS-2467
upper_aerodigestive_tract	mouth	buccal_mucosa	ns	TS-2349
upper_aerodigestive_tract	mouth	cheek	ns	TS-2470
upper_aerodigestive_tract	mouth	gingiva	ns	TS-2074
upper_aerodigestive_tract	mouth	lip	ns	TS-0558
upper_aerodigestive_tract	mouth	maxilla	ns	TS-2217
upper_aerodigestive_tract	mouth	mouth_floor	ns	TS-2207
upper_aerodigestive_tract	mouth	mouth_roof	ns	TS-2212
upper_aerodigestive_tract	mouth	ns	ns	TS-1315
upper_aerodigestive_tract	mouth	retromolar	ns	TS-2353
upper_aerodigestive_tract	mouth	tongue	ns	TS-1050
upper_aerodigestive_tract	mouth	vestibule	ns	TS-1315
upper_aerodigestive_tract	pharynx	epiglottis	ns	TS-2473
upper_aerodigestive_tract	pharynx	hypopharynx	ns	TS-2020
upper_aerodigestive_tract	pharynx	nasopharynx	ns	TS-0663
upper_aerodigestive_tract	pharynx	ns	ns	TS-0785
upper_aerodigestive_tract	pharynx	oropharynx	ns	TS-0718
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	ns	ns	TS-2456
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	ethmoid	TS-2477
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	maxillary	TS-2231
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	ns	TS-2456
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	piriform	TS-2489
upper_aerodigestive_tract	tonsil	ns	ns	TS-1053
upper_aerodigestive_tract	trachea	ns	ns	TS-1060
urinary_tract	bladder	ns	ns	TS-1090
urinary_tract	ns	ns	ns	TS-1323
urinary_tract	renal_pelvis	ns	ns	TS-2230
urinary_tract	upper_urinary_tract	ns	ns	TS-1323
urinary_tract	ureter	ns	ns	TS-1084
vagina	ns	ns	ns	TS-1103
vulva	ns	ns	ns	TS-1168
Primary site	Site subtype 1	Site subtype 2	Site subtype 3	CALOHA
autonomic_ganglia	thoraco-abdomen	ns	ns	TS-1071
breast	nipple	ns	ns	TS-2234
central_nervous system	lateral ventricle trigone	ns	ns	TS-1230
eye	lacrimal_gland	ns	ns	TS-0512
genital_tract	extragonadal	central nervous system	ns	TS-0150
haematopoietic_and lymphoid tissue	blood vessel	ns	ns	TS-2090
haematopoietic_and lymphoid tissue	bone	ns	ns	TS-0088
haematopoietic_and lymphoid tissue	extramedullary	ns	ns	TS-2090
haematopoietic_and lymphoid tissue	lip	ns	ns	TS-0558
pancreas	extrapancreatic	ns	ns	TS-2090
pericardium	ns	ns	ns	TS-0761
pituitary	adenohypophysis	ns	ns	TS-0794
skin	chest_wall	ns	ns	TS-2464
soft_tissue	blood vessel	face	ns	TS-2216
soft_tissue	blood vessel	groin	ns	TS-2339
soft_tissue	blood vessel	labia	ns	TS-2210
soft_tissue	blood vessel	lower extremity	ns	TS-2215
soft_tissue	blood vessel	neck	ns	TS-2045
soft_tissue	blood vessel	orbit	ns	TS-2497
soft_tissue	blood vessel	scalp	ns	TS-0896
soft_tissue	blood vessel	tongue	ns	TS-1050
soft_tissue	blood vessel	trunk	ns	TS-1071
soft_tissue	fat	extremity	ns	TS-0552
soft_tissue	fat	face	ns	TS-2216
soft_tissue	fat	lower extremity	ns	TS-2215
soft_tissue	fibrous tissue and uncertain origin	hip	ns	TS-2226
soft_tissue	fibrous tissue and uncertain origin	sciatic nerve	ns	TS-0899
soft_tissue	nerve sheath	brachial plexus	ns	TS-2468
soft_tissue	smooth muscle	cervix	ns	TS-0134
soft_tissue	smooth muscle	iliac vein	ns	TS-2498
soft_tissue	smooth muscle	omentum	ns	TS-2004
soft_tissue	striated muscle	elbow	ns	TS-2222
soft_tissue	striated muscle	omentum	ns	TS-2004
soft_tissue	striated muscle	sinonasal and nasal cavity	ns	TS-2456
soft_tissue	striated muscle	skull	ns	TS-2344
soft_tissue	striated muscle	uterus	ns	TS-1102
stomach	gastroesophageal_junction	ns	ns	TS-2499
upper_aerodigestive tract	mouth	commissure	ns	TS-1315
upper_aerodigestive tract	mouth	retromolar trigone	ns	TS-2353
urinary_tract	bladder	urachus	ns	TS-2500
